# Pathway	SGP033296	SGP033297	SGP033298	SGP033299	SGP033300	SGP033301	SGP033302	SGP033303	SGP033304	SGP033305	SGP033306	SGP033307	SGP033308	SGP033309	SGP033310	SGP033311	SGP033312	SGP033313	SGP033314	SGP033315	SGP033316	SGP033317	SGP033318	SGP033319	SGP033320	SGP033321	SGP033322	SGP033323	SGP033324	SGP033325	SGP033326	SGP033327	SGP033328	SGP033329	SGP033330	SGP033331	SGP033332	SGP033333	SGP033334	SGP033335	SGP033336	SGP033337	SGP033338	SGP033339	SGP033340	SGP033341	SGP033342	SGP033343	SGP033344	SGP033345	SGP033346	SGP033347	SGP033348	SGP033349	SGP033350	SGP033351	SGP033352	SGP033353	SGP033354	SGP033355	SGP033356	SGP033357	SGP033358	SGP033359	SGP033360	SGP033361	SGP039575	SGP039576	SGP039577	SGP039578	SGP039579	SGP039580	SGP039581	SGP039582	SGP039583	SGP039584	SGP039585	SGP039586	SGP039587	SGP039588	SGP039589	SGP039590	SGP039591	SGP039592	SGP039593	SGP039594	SGP039595	SGP039596	SGP039597	SGP039598	SGP039599	SGP039600	SGP039601	SGP039602	SGP039603	SGP039604	SGP039605	SGP039606	SGP039607	SGP039608	SGP039609	SGP039610	SGP039611	SGP039612
12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation	0	0	1.43699	0	0	0	2.31611	0	0	0	0	10.8666	0	0	0	0	0	0	0	0	0	0	1.48195	0	0	0	1.00945	0	0	0	1.76497	0	0.99791	0	0	0	0	0	0	0	0	3.32182	0	0	0	0	0	0	75.3907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.71984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)	8968.71	8683.91	8813.47	9680.06	7111.59	8329.68	4366.75	9150.88	9385.62	9254.56	3730.23	8824.86	8743.76	8989.7	4110.02	8896.63	8336.09	8136.48	8648.53	7593.9	9117.49	7383.43	9141.04	7869.39	7939.09	6866.49	8160.9	7688.46	5611.44	8101.13	8763.25	7504.72	8602.39	8426.41	6185.98	8401.41	8892.69	7476.23	8463.09	8671.72	8413.09	8498.36	8155.18	5561.55	8509.84	8940.34	8796.28	8538.38	7438.44	8835.49	8363.82	8508.66	9454.88	8160.17	8501.42	7392.45	8888.16	9131.71	8170.27	8466.81	8761.78	8702.83	9348.93	9653.21	9336.28	8597.47	7140.45	10370.8	9059.07	9386.83	9546.24	8070.61	9045.79	9180.8	10892.2	9881.33	9594.07	8728.75	9783.57	8681.85	9701.79	8838.53	9531.18	4191.28	5555.61	10148.9	8704.25	9112.22	6906.3	10069.6	10806.9	9316.38	8576.79	10048.2	11879.2	10267	9182.08	10120.9	10957.4	11056.2	10621.9	8547.44	8650.83	10315.2
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0	0	15.9399	0	2.5935	72.9206	1445.2	3.64591	0	0	89.8343	41.2848	0	0	302.145	0	0	0	0	0	0	0	5.87304	0	0	296.193	0	0	546.275	96.6085	7.55235	0	0	11.0564	425.686	9.0849	0	7.68984	0	0	0	5.36381	0	216.424	0	0	0	0	251.586	0	0	10.1736	0	3.48804	0	3.77877	0	0	0	0	0	0	1.80897	0	0	0	0	0	0	76.8876	0	0	0	0	0	56.3357	89.081	6.01244	0	0	0	0	0	1035.08	544.673	0	0	0	448.765	0	0	0	0	0	0	8.06468	0	0	0	0	0	0	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis	9.47003	0	0	0	13.3358	0	445.269	2.94636	0	0	112.902	11.5835	0	0	0	0	6.2547	2.00881	0	13.0877	0	0	0	0	2.29731	1.64383	0	0	0	0	0	11.0719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.6124	0	0	0	0	0	0	0	0	0	0	8.36893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.002	0	0	0	0	0	0	0	21.7686	0	0	0
ALL-CHORISMATE-PWY: superpathway of chorismate metabolism	0	0	0	0	0	0	41.0444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	89.6075	123.706	98.7807	49.3595	74.0237	47.8387	415.567	93.705	81.4859	22.622	140.26	337.148	88.3265	60.6385	28.7204	11.9185	170.227	52.7911	64.9904	56.9021	97.9442	84.2281	147.562	34.026	68.5212	370.366	103.003	31.5265	70.8762	162.031	61.5536	41.9782	104.514	62.4057	254.255	81.4269	143.03	36.7313	144.905	191.168	151.357	78.6779	206.462	4.63907	45.9964	78.5494	213.486	63.0902	58.6487	119.449	202.568	273.154	238.455	49.0625	296.019	100.529	220.125	110.597	13.201	25.8028	37.5548	179.516	190.874	103.207	150.681	56.0319	64.3354	27.6256	44.5953	188.266	334.601	59.7455	45.8692	310.74	23.4733	45.094	122.216	47.9349	414.945	150.125	64.7981	141.992	13.0736	256.305	73.0139	180.012	129.335	218.239	0	231.858	160.971	44.4845	191.042	210.767	73.144	64.5132	216.728	61.3229	49.0892	121.309	36.2048	66.2516	111.452	19.4018
ANAEROFRUCAT-PWY: homolactic fermentation	5179.93	5413.48	4053.87	4819.8	4326.56	3569	4518.34	3604.65	3671.34	3270.73	3606.92	3789.58	3869.61	4724.8	3668.01	4489.6	3398.08	2978.1	3120.44	3690.39	4723.07	2624.34	2261.57	5629.44	3011.1	4086.13	3927.27	2499.64	4759.69	4284.66	4121.3	2921.9	4717.51	3839.74	4532.25	3875.73	3900.16	3817.8	3534.2	3421.95	3114.05	4127.26	6271.71	4102.35	2526.11	4102.06	3156.2	3814.38	3869.14	3141.56	4204.95	3156.12	4485.52	3372.85	3956.82	5446.22	4327	3789.89	3706.92	3437.82	3727.17	3875.51	4362.26	4955.76	3741.02	3489.72	3857.2	4349.24	3749.27	3058.77	5312.16	2902.91	4009.76	3641.86	4708.88	3900.91	4518.12	3037.75	3192.52	4228.9	5415.86	3448.83	4288.23	4026.56	4486.42	4090.5	4954.89	3187.43	3366.37	3090.21	2885.06	3112.31	4491.73	3318.82	2742.57	4111.1	3985.48	5285.92	4700.23	3169.02	4331.83	3411.35	3518.3	5805.61
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	10844.8	10063.1	10616	7794.58	10412.1	10455.8	5794.81	9522.61	9993.12	9829.36	7953.74	8568.84	10757.6	9908.53	10506.9	9594.91	10274.1	11469.8	10060.5	10692.7	10027.2	11779.8	11401.1	9865.83	11125.8	7826.39	10666.7	11801.2	7057.13	8271.97	9646.84	11699.9	9746.31	9922.48	6199.17	10308.6	11536.3	11051.1	9512.24	9430.88	9803.25	10014.3	9174.7	6184.74	12147.1	9956.88	9887.96	10343.5	7813.23	9786.06	9137.41	9420.42	9649.36	10197.5	10144	9652.79	9935.28	9755.69	10758	11013.9	11137.2	9907.78	10427.9	9621.79	10216.2	10482.3	10854.7	10463.7	10146.1	7764.46	11617	11420.3	10749	10602.5	10300.8	9755.19	9228.68	10101.9	10139.6	9855.8	9751.45	10759.7	10948.1	5270.31	6950.38	11743.9	9963.1	12136.4	8401.68	11418.7	7991.34	10331.1	10351.8	11385.8	7762.7	10555.1	10365.2	10284.2	10259.2	7832.07	9762.61	10220.5	12328.1	10493.2
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	1455.21	1409.72	2681.75	771.798	1075.54	1519.99	4924.3	2733.36	1606.37	1073.01	2405.33	1716.04	772.493	1173.71	1906.21	2019.81	2608.74	1295.9	955.381	1302.16	809.016	1365.54	1637.43	1534.91	1336.68	2922.37	894.769	1174.2	3471.71	1878.22	1680.1	1070.94	1122.15	2418.23	3729.81	2022.45	940.943	937.415	1229.68	1137.58	932.227	1628.73	973.209	2309.78	1164.74	1825.65	1502.4	1382.91	1686.5	1291.98	1104.63	1138.79	979.548	1596.84	1047.15	1934.27	1109.35	875.47	520.164	1550.68	1201.04	1006.43	1025.6	371.109	973.5	654.776	954.408	1809.1	1487.18	1521.79	134.702	1377.73	1779.91	1266.27	745.437	1112.44	1576.68	909.961	1661.43	2036.91	876.811	1241.84	224.959	4559.42	4459.88	665.934	680.599	670.287	1857.51	620.348	1382.07	917.382	649.239	702.371	1192.34	1349.26	964.356	1637.95	1519.48	1207.75	1089.7	1629.23	529.682	421.295
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	0	0	20.4586	0	3.67687	13.9647	759.642	0	0	0	0	0	0	0	615.824	0	0	0	0	7.72011	0	3.73194	18.8269	0	0	206.73	0	0	847.241	179.603	6.69068	11.959	0	12.7991	318.488	14.0908	0	0	0	0	0	2.78411	0	485.637	0	0	0	0	118.582	0	0	11.3596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.6057	0	0	78.0025	0	0	0	0	0	103.388	91.2039	0	0	0	0	82.009	0	915.679	663.192	0	27.9831	0	91.9967	0	0	0	0	0	0	0	0	0	0	0	10.6943	0	0	0
