"","SGP033296","SGP033297","SGP033298","SGP033299","SGP033300","SGP033301","SGP033302","SGP033303","SGP033304","SGP033305","SGP033306","SGP033307","SGP033308","SGP033309","SGP033310","SGP033311","SGP033312","SGP033313","SGP033314","SGP033315","SGP033316","SGP033317","SGP033318","SGP033319","SGP033320","SGP033321","SGP033322","SGP033323","SGP033324","SGP033325","SGP033326","SGP033327","SGP033328","SGP033329","SGP033330","SGP033331","SGP033332","SGP033333","SGP033334","SGP033336","SGP033337","SGP033338","SGP033339","SGP033340","SGP033341","SGP033342","SGP033343","SGP033344","SGP033345","SGP033346","SGP033347","SGP033348","SGP033349","SGP033350","SGP033351","SGP033352","SGP033353","SGP033354","SGP033355","SGP033356","SGP033357","SGP033358","SGP033359","SGP033360","SGP033361","SGP039576","SGP039577","SGP039578","SGP039579","SGP039581","SGP039582","SGP039583","SGP039584","SGP039585","SGP039586","SGP039587","SGP039588","SGP039589","SGP039590","SGP039591","SGP039592","SGP039593","SGP039594","SGP039595","SGP039596","SGP039597","SGP039598","SGP039599","SGP039600","SGP039601","SGP039602","SGP039603","SGP039604","SGP039605","SGP039606","SGP039607","SGP039608","SGP039609","SGP039610","SGP039611","SGP039612"
"SGP033296",0,0.730093511080391,0.62630276002802,0.723588940483377,0.800699063315084,0.796924946997055,0.998028729666618,0.803137793424628,0.758234549569529,0.632126951754954,0.943370087673962,0.715250057078973,0.453279152189268,0.670270371178366,0.985341353352584,0.76823241496898,0.703368977451258,0.7580189219902,0.59210225897943,0.734903216381952,0.661981789579008,0.789080306634585,0.651467772719853,0.491571362613493,0.729865599813305,0.679501341011418,0.5051033925696,0.837051448941529,0.985185550134026,0.778355247997939,0.650119446419189,0.825346365475804,0.674772011874413,0.627236352487536,0.990512262680418,0.6077371757841,0.711665181758469,0.708690220031972,0.714923947811956,0.682159923316182,0.632901234666923,0.742492164021984,0.979800945005722,0.836225231511061,0.714658242378231,0.675786486656895,0.682897634796331,0.746326471669046,0.705696519392606,0.766365248763535,0.677772355337285,0.735178387849675,0.624774880041416,0.720709830239339,0.682731986170993,0.713452750284895,0.715718621972182,0.74081557683941,0.706100931801588,0.723875328237776,0.724229656272631,0.778209153840272,0.765179207201572,0.696856019605706,0.765982877079949,0.739720152995099,0.646668932377117,0.920813959512138,0.784752423310683,0.681640729160941,0.755828306941875,0.760189987756228,0.942439183786266,0.761526086574254,0.727831222939401,0.713006077970327,0.699322680042435,0.806872099211133,0.807513965717178,0.83839071689694,0.99603917075843,0.864898306142466,0.769489026478131,0.753335569993831,0.771753184192719,0.969471220128548,0.764844023790125,0.870823339401151,0.739862687065058,0.759715743950588,0.778927132189344,0.926632323039629,0.741236794192338,0.732891780549751,0.740066000754016,0.784224872101037,0.888799396699981,0.771854766282321,0.68091801974763,0.799640016363075,0.771826109728156
"SGP033297",0.730093511080391,0,0.746990918889266,0.571513444943501,0.841985300910285,0.804596607650179,0.995587693439339,0.482645654981293,0.502100558208171,0.459707746204121,0.982826831646387,0.757076963707255,0.671786729375353,0.364176612860448,0.989900536204909,0.69598468244882,0.721330589909368,0.801667577629234,0.640330810032944,0.794862641133836,0.34958685184651,0.830564196837557,0.68708630045064,0.714048675558546,0.777055626899533,0.706714221195709,0.655785943269889,0.847558611414748,0.99566519561633,0.804744482394106,0.665154771486434,0.855889475184121,0.480089225798151,0.688868004349822,0.999354727295918,0.721819448598876,0.770930885808795,0.7650798297529,0.612842998684797,0.644079634219021,0.762157008693145,0.672514951692233,0.99485079560884,0.860807341095988,0.707773958361411,0.685658097964406,0.666809145324676,0.570500789700154,0.713947234560769,0.57441377719295,0.681834133996348,0.640838052835937,0.67351310957333,0.697363066425676,0.521241944897592,0.656322215265673,0.658944524092068,0.697412869724169,0.580113745920376,0.633330934640073,0.640619603547208,0.585634268336521,0.579560537928199,0.634893125229477,0.638511095523924,0.651500329016464,0.782048097558155,0.727948710037643,0.681190838810483,0.76017189863532,0.721701572158011,0.697815832872067,0.843829718747411,0.614675923920825,0.700218026753906,0.652494033445175,0.69447924648154,0.623205069247183,0.596679228279786,0.610809396146321,0.999310339769574,0.858422135444239,0.741411882010888,0.668620364816528,0.798965086188835,0.994053209324029,0.739124078155965,0.789742160701503,0.785984390494079,0.540610041561921,0.748517945429905,0.845761112394479,0.610954151313836,0.707307242361454,0.567471084421191,0.683302323608274,0.801026090436573,0.682543050902397,0.725242414697634,0.812162523894481,0.567068193020592
"SGP033298",0.62630276002802,0.746990918889266,0,0.750178836362387,0.857441160952071,0.822181627404305,0.996194318428939,0.772052009212571,0.80486398709174,0.700821805066702,0.958602661151609,0.789615485970575,0.651327241079666,0.679202133252904,0.986736427320257,0.831058379883238,0.800028712766438,0.822918072136893,0.716424907311845,0.786639938510001,0.701595227238504,0.819690881508005,0.759163940896512,0.662597929564307,0.81519324405793,0.744883399134958,0.697150291650261,0.867928370784003,0.964260285324924,0.671296834252594,0.416384348474356,0.849415585688988,0.719038034567339,0.406200758367585,0.976482335695369,0.341296633274364,0.82103850630013,0.777917536471793,0.693916232314518,0.69897939102752,0.30673903230277,0.780765506739608,0.963711341152195,0.881113784999507,0.810840213970833,0.685032278614505,0.78643541704375,0.743479108834038,0.727352091217341,0.742513446174555,0.71414953909453,0.783230872679323,0.721032157268698,0.73155415285824,0.705959907585593,0.802075026604911,0.760274207381926,0.725322834259552,0.692404054402887,0.720848093963157,0.710564789592986,0.778903356521903,0.751216285736967,0.781676295859595,0.761177351496444,0.732746277640515,0.58073040423321,0.884373049364457,0.763348293677222,0.612209705234283,0.724578878527714,0.759878977600262,0.938115762224813,0.745035960825031,0.7465566352007,0.774672684452521,0.692737474573248,0.787607097783086,0.785378588695505,0.798299099740174,0.993184835352366,0.88362656118866,0.754689702257504,0.718915948777461,0.781073684107766,0.949047357788234,0.760026670097227,0.876350090116186,0.634391786074823,0.733661474188519,0.732262250980602,0.926001257286452,0.755693943750582,0.73347539342686,0.739144327635101,0.769254224377806,0.919168603606053,0.760805604503349,0.57417356473577,0.818272928722403,0.769159856104811
"SGP033299",0.723588940483377,0.571513444943501,0.750178836362387,0,0.792122947236942,0.735601007123778,0.999083544752892,0.611863916205618,0.691954528281909,0.540423433478862,0.977758060557077,0.82357330470599,0.671328278132134,0.568301190988461,0.983876881504913,0.650887476721429,0.711533176487203,0.76937620357884,0.584804142882029,0.761516503343535,0.546454302995224,0.778293248539155,0.676586878985197,0.724166627906865,0.753761530510076,0.647630750534323,0.650849260403209,0.824665391062549,0.986214718311759,0.879591434454134,0.69748081027659,0.815392490609645,0.630566691188586,0.734422107700378,0.977228029703854,0.715927950918344,0.807676183893954,0.803798159579848,0.582674455546483,0.637962212610481,0.759174307200993,0.666688598876625,0.99128293329631,0.833099288423126,0.793945018966813,0.661677671969624,0.775697489639944,0.434778310848498,0.790730831430705,0.416825303273005,0.634273157514466,0.488580650133216,0.784793881645361,0.678237367546829,0.652657416511975,0.537838804144777,0.539343201570542,0.759921475699549,0.714533914391422,0.75241979992102,0.64216593360143,0.574521991916253,0.491768484862816,0.558620276135572,0.771549045072239,0.6557702677137,0.762498279735481,0.636620436709484,0.725992864167562,0.768605578433974,0.719880740126417,0.683747763200031,0.685734710074994,0.579277959727673,0.728567852205366,0.574240899839734,0.650650105653136,0.461348706341715,0.754119893636784,0.800604049354632,0.999684641420096,0.858454983826528,0.73617523422297,0.597632585919743,0.792503611650312,0.986745268812102,0.744125568488635,0.504936767504521,0.798128697667383,0.693911095270463,0.754927782566163,0.60380552249823,0.604220991506949,0.696521044631772,0.554078876901041,0.701666529205023,0.573212997625478,0.678521556949683,0.726217746111151,0.802744167275924,0.5923788677107
"SGP033300",0.800699063315084,0.841985300910285,0.857441160952071,0.792122947236942,0,0.647595901345657,0.998111015317087,0.877037333648262,0.886064942916398,0.831362558896153,0.983271447842007,0.941083991795996,0.802335006214288,0.83557727695365,0.898378382630571,0.78404202550685,0.758784307262164,0.255756616658677,0.861518826273957,0.28805648144704,0.853109734519612,0.26913851154277,0.774109193911705,0.794347047943096,0.254051380603398,0.689947130174624,0.803360252238328,0.351067138935162,0.990778557300311,0.928061981363158,0.864657100132559,0.222297482827313,0.858662298668855,0.884245413799116,0.995716602707321,0.826044856921887,0.828791447752819,0.846819450675067,0.840674096001913,0.816309645536272,0.850514696540256,0.854896641486487,0.995780833309718,0.293322706204075,0.841653741322485,0.832171820131969,0.826820299673574,0.839854174020706,0.845324000390955,0.80195297042428,0.812480835500535,0.839760012205363,0.82313876010922,0.805291073270768,0.848901281748929,0.814758336131227,0.84162623456254,0.799685434096507,0.794980589376158,0.82901368273218,0.817101709792442,0.831350201250598,0.874478364217807,0.825671192314698,0.839895237578185,0.855794630623368,0.813710315958849,0.951688459098786,0.803612587419028,0.860476437060165,0.784702188380273,0.874218773357426,0.964375428022151,0.853913085696254,0.835727027735854,0.846117320558705,0.841630102782393,0.882608766185603,0.870907451972086,0.903099229378101,0.987530758515536,0.866192842704833,0.767332375110946,0.844420412887567,0.737742994174164,0.996072793158091,0.75375633129853,0.89318119604061,0.852778908146452,0.856404394771868,0.767574431011887,0.938303358555587,0.849426470844399,0.854567454625657,0.860247069639743,0.888410879507106,0.941040439418143,0.873590740602111,0.811072266752055,0.767008516940562,0.885019484411074
"SGP033301",0.796924946997055,0.804596607650179,0.822181627404305,0.735601007123778,0.647595901345657,0,0.998818726426596,0.833591484102196,0.847031423769824,0.788143961834791,0.988484703980334,0.888961234674161,0.745674750124784,0.791057362424722,0.692481828023358,0.660532549742346,0.52182758316665,0.559617937566476,0.784545561665923,0.581242414920764,0.806815786906154,0.466390391033602,0.711334601026413,0.780977734561312,0.569905973378252,0.581147910768162,0.744587033614152,0.555997904949921,0.996483766969765,0.889319948924149,0.846548677416584,0.497511426426325,0.850461663204197,0.828140391921087,0.999550160013443,0.826985505072198,0.837753075542682,0.797609165068907,0.820204243656471,0.802775308963188,0.846178965777964,0.796099450563629,0.99022400873613,0.494564391247792,0.819981085813415,0.805697147500651,0.804389854865614,0.794651301136475,0.795909001083886,0.738834784297666,0.795895760176109,0.701966817879742,0.795735967313597,0.7527155648127,0.815393419071264,0.693764976995645,0.758928671908597,0.756707046025126,0.761877414793156,0.791756136164093,0.76625486020534,0.747448688222209,0.768213001523092,0.738057086077803,0.803706941190914,0.756728887620871,0.787212456506719,0.91613706262817,0.659609997815442,0.787493338203939,0.698023978424619,0.772448175371773,0.950157628319297,0.749286201967088,0.787531031073329,0.704435846739505,0.810434164257707,0.755004819147383,0.797649857558213,0.858572517843881,0.998294526728146,0.831334138701082,0.602008323449546,0.734905512099435,0.544431994934455,0.990733374728341,0.628992725781876,0.860755365009057,0.79226403068237,0.801690881585735,0.620975652143284,0.914651850333933,0.739461855614657,0.782165893981538,0.760139323624536,0.787843870235584,0.920329641167876,0.76927943326762,0.781716008678514,0.434019631307204,0.794451847303046
"SGP033302",0.998028729666618,0.995587693439339,0.996194318428939,0.999083544752892,0.998111015317087,0.998818726426596,0,0.988821099064378,0.987280952551362,0.993009780258255,0.952024728991037,0.989396336199801,0.995584145312335,0.993002858346599,0.95309903514545,0.999285175446804,0.998772424857949,0.998533197916428,0.998375765897653,0.998200584509473,0.992530166409873,0.998660939943784,0.996287347315214,0.997866544499719,0.998434539410427,0.968406285412668,0.998168450983555,0.999032084800274,0.892546814192226,0.984785593588168,0.996688041053245,0.997039807759722,0.993690166171888,0.996479778150143,0.678681638291301,0.995005001432895,0.996540707077908,0.996545663622963,0.998062066614155,0.997338543835286,0.997076160505594,0.997408481547607,0.984430273681809,0.998575380899953,0.998016656975616,0.997879305834808,0.997406766270761,0.993206072656683,0.994658496436667,0.99778066245885,0.99755440277186,0.998685358678807,0.997679808249111,0.998188642313401,0.98933960591497,0.998555044212195,0.99887272324408,0.996408472838648,0.998503716931809,0.99688667308451,0.998414778206231,0.997816465087893,0.998637649147127,0.99863667180518,0.998269670100804,0.997536806097007,0.998250595271404,0.991639170526827,0.99897206819778,0.997982356630212,0.998666504907441,0.997500374983347,0.995201232035884,0.990787545561721,0.997574923234145,0.998584648157187,0.998216098244979,0.998520518064063,0.997061326271673,0.997875687593367,0.847966045554612,0.921520040710273,0.99941639147776,0.997744826967349,0.999432450711425,0.995487342131034,0.999354127191954,0.996353955324352,0.997491269714336,0.997569785115704,0.999351525521003,0.999076958753861,0.996818742353635,0.999323393529747,0.997151645609263,0.997175187147548,0.997318846953372,0.996014746242394,0.998211034929152,0.998529908894901,0.996793015324592
"SGP033303",0.803137793424628,0.482645654981293,0.772052009212571,0.611863916205618,0.877037333648262,0.833591484102196,0.988821099064378,0,0.456786898057643,0.426587743774743,0.991258979319227,0.688200958598887,0.685704771026649,0.495872035790186,0.988581946660236,0.64140690990732,0.726408268129899,0.867719625264203,0.53852825923547,0.853766997991658,0.447227430034308,0.874773333967654,0.716328201207992,0.738853844258069,0.849615620540805,0.721528579820115,0.685834043159628,0.894958415556847,0.99637407517067,0.757305708453013,0.72165413803581,0.893942627098798,0.486345840022758,0.713096982259103,0.99838324236727,0.746818112204189,0.769484988406555,0.779849165876436,0.693459265828158,0.703472253491412,0.743291719144342,0.713431326561581,0.978974071614241,0.897150446774321,0.698872580276921,0.721124058267993,0.617760094873632,0.587339853917175,0.630919776915146,0.594625098462055,0.747325368776183,0.595932744013544,0.680300149795119,0.763152447763311,0.665031215131478,0.642275938483343,0.619035398375634,0.791983508599486,0.659539708172996,0.702942666988006,0.721738955083117,0.730075084801046,0.618927711057573,0.667533351114961,0.746516923068299,0.723739171892507,0.798064420980054,0.751627040616215,0.767631002668188,0.771314963548743,0.752346785857784,0.76320235061613,0.704263843953934,0.685634929316662,0.781681799298589,0.661468838199016,0.740381077969678,0.622022613531528,0.698994021066987,0.671065456636985,0.998489478413092,0.854083805506853,0.764521545495964,0.69337919202104,0.812814795691126,0.969241601815122,0.75535114890047,0.651627502672028,0.793009280083785,0.680239426742808,0.765794881397235,0.720473568439932,0.682480133459782,0.717007744136591,0.671508511842408,0.759543767962891,0.779717630120176,0.757970965573855,0.755283607655311,0.81649586356564,0.71766336227388
"SGP033304",0.758234549569529,0.502100558208171,0.80486398709174,0.691954528281909,0.886064942916398,0.847031423769824,0.987280952551362,0.456786898057643,0,0.470341655059949,0.988281942502627,0.717020937939128,0.706649623580017,0.400630237992252,0.990136390762669,0.655836199274879,0.751592638971336,0.860373602599676,0.611629062464109,0.852827023009033,0.422101921363305,0.880636515474952,0.707354788637037,0.69295869020423,0.838795381185539,0.719622306689973,0.701348365401578,0.8847227096009,0.995060756647506,0.801563087789004,0.719998739237996,0.901404084457331,0.533181585929316,0.722189408275341,0.99699181964059,0.748254247398114,0.764898980365088,0.742635959481192,0.71956888501277,0.713314472927394,0.762385322996789,0.697609041280276,0.991602960337634,0.903467822832724,0.681965841254327,0.740782090817128,0.585338242901683,0.672286224516968,0.666139594244047,0.611521914599655,0.730183203298376,0.683455813842149,0.625020052360649,0.780167792905377,0.595428835833758,0.657054235313215,0.700949377968803,0.785624977617495,0.69986362792883,0.71407160992338,0.750331342928186,0.6687319939697,0.685600684884966,0.670809443616551,0.71982114313674,0.728504701538201,0.819211136873443,0.739150239349014,0.805200559512839,0.744311214823656,0.768345122780506,0.760266283938722,0.79627609953931,0.67647879923921,0.766626956730377,0.666919619244298,0.772882967422714,0.699607616700537,0.724097166137911,0.745908161900861,0.999727171059679,0.884016432797881,0.776222284312338,0.735152976858708,0.824815277050617,0.990682653477111,0.764230966923777,0.734379791749795,0.780827531525403,0.70292486391029,0.77109384013801,0.800420226269793,0.694345601490304,0.764299837501373,0.673810015594565,0.752527965012731,0.785555304477397,0.746225524155222,0.753337627088039,0.835733988607217,0.718246629270854
"SGP033305",0.632126951754954,0.459707746204121,0.700821805066702,0.540423433478862,0.831362558896153,0.788143961834791,0.993009780258255,0.426587743774743,0.470341655059949,0,0.988421152477239,0.807231359928154,0.579086782888643,0.359646375714715,0.989234918364897,0.604543482060807,0.630155851489846,0.7817230206014,0.496247189006386,0.761021491717145,0.278093483737273,0.810978532632041,0.562269195209452,0.627147543744853,0.761135729382178,0.631370711805924,0.590316123962095,0.857725712255959,0.995660976878849,0.840591030859834,0.60347390108253,0.847075939839978,0.360659759822365,0.62691455129061,0.998205245814221,0.609642514162058,0.688482685237671,0.691178457523491,0.600226187091743,0.636022751275733,0.68123256265906,0.68282569407304,0.995904175294623,0.855277520724431,0.695305897262535,0.665672983804143,0.639322950526989,0.483993625643007,0.6307713956107,0.550121943369943,0.690763927880174,0.552647134253995,0.540243580629785,0.738990990925174,0.556158004440787,0.607478151512378,0.543851006689072,0.704401854973061,0.602605749049455,0.638614562078204,0.678840571088349,0.670352409579919,0.597112683484103,0.602323032034827,0.692728446538912,0.680375959859342,0.797339724248712,0.74300492495946,0.739563855592549,0.709368518108859,0.707678510843104,0.715698231926399,0.711477735226902,0.634253141313453,0.72366582928085,0.650503770497662,0.72149345242999,0.619467648932241,0.688028541576305,0.683474475459042,0.99772466250309,0.830023685031459,0.730084329402597,0.689596752953083,0.803441397219923,0.99650838186207,0.734410120027607,0.639887799181741,0.753562501841861,0.641773316328988,0.745891725136093,0.716722019201573,0.63015139678569,0.699800017773089,0.620253017171056,0.71776250507485,0.805939183747729,0.702249131180985,0.73243497228594,0.824051059884064,0.645109072271741
