name,degree_measure,centrality,tax_id,Kingdom,Phylum,Class,Order,Family,Genus
Clostridia_bacterium,27700,0.0903725925913881,14874,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridia_unclassified,f__Clostridia_unclassified,g__Clostridia_unclassified
LKT_f__Ruminococcaceae,19052,0.05052970251301311,14843,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,LKT_f__Ruminococcaceae
Lachnospiraceae_bacterium,11944,0.03893409228824046,4688,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Lachnospiraceae_unclassified
LKT_p__Firmicutes,10162,0.03040646475367478,6602,k__Bacteria,p__Firmicutes,LKT_p__Firmicutes,LKT_p__Firmicutes,LKT_p__Firmicutes,LKT_p__Firmicutes
Ruminococcaceae_bacterium,8064,0.02690444030404095,14925,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcaceae_unclassified
LKT_f__Lachnospiraceae,4796,0.017437123529735074,4777,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,LKT_f__Lachnospiraceae
LKT_f__Clostridia_unclassified,3944,0.010222548304405154,4328,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridia_unclassified,f__Clostridia_unclassified,LKT_f__Clostridia_unclassified
Faecalibacterium_prausnitzii,3888,0.009866932966026446,15342,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Faecalibacterium
Clostridiaceae_bacterium,3768,0.010790862979166664,4269,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridiaceae_unclassified
Blautia_obeum,1638,0.005350543919723227,4811,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Blautia
Dorea_longicatena,1556,0.003803754519527098,4582,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Dorea
Ruminococcus_torques,1538,0.0036409386184436555,4563,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Mediterraneibacter
Anaerobutyricum_hallii,1520,0.005236176681874395,4532,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Anaerobutyricum
Clostridiales_bacterium,1346,0.0037859931299704147,59899,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiales_unclassified,g__Clostridiales_unclassified
Christensenellaceae_bacterium,1326,0.00664941811505817,3813,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Christensenellaceae,g__Christensenellaceae_unclassified
Lactococcus_lactis,1202,0.0033296219423024154,7985,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus
LKT_f__Clostridiaceae,1184,0.004070969491126925,14987,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,LKT_f__Clostridiaceae
Firmicutes_bacterium,1158,0.006827810195767325,49163,k__Bacteria,p__Firmicutes,c__Firmicutes_unclassified,o__Firmicutes_unclassified,f__Firmicutes_unclassified,g__Firmicutes_unclassified
Coprococcus_eutactus,1148,0.0033999562146360147,5118,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Coprococcus
Sutterella_wadsworthensis,1098,0.0030922504769069653,9286,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Sutterellaceae,g__Sutterella
Turicibacter_sanguinis,1086,0.004054597071292856,6847,k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Turicibacter
Rothia_mucilaginosa,1028,0.0031447633868368955,16971,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Rothia
Hungatella_hathewayi,868,0.004187072990965576,4742,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Hungatella
Dysosmobacter_welbionis,860,0.0035850584588243114,15078,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Oscillospiraceae,g__Dysosmobacter
Flavonifractor_plautii,860,0.001796752117268679,15132,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Flavonifractor
Ruthenibacterium_lactatiformans,860,0.0025050517446741248,15271,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruthenibacterium
Bilophila_wadsworthia,860,0.004161546954562375,15452,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Bilophila
Bacteroides_stercoris,860,0.003721950287066866,1830,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides
Bacteroides_uniformis,860,0.0038235091578603963,1836,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides
Bacteroides_ovatus,860,0.004408248717390187,1871,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides
Parabacteroides_distasonis,860,0.002372009772032823,1934,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__Parabacteroides
Alistipes_putredinis,860,0.0036412692893332517,2318,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes
Clostridium_sp_Marseille_P3244,860,0.003331983366169876,29302,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium
Faecalicatena_contorta,860,0.0038562795546601245,4613,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Faecalicatena
Blautia_faecis,860,0.003351539673026233,4820,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Blautia
Clostridium_sp_AF34_10BH,860,0.003355212487974817,4914,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium
Intestinibacter_bartlettii,860,0.004132863631173677,6140,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptostreptococcaceae,g__Intestinibacter
Romboutsia_timonensis,860,0.003727023725790987,6148,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptostreptococcaceae,g__Romboutsia
Bittarella_massiliensis,860,0.004132863631173278,7263,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Bittarella
