name,degree_measure,centrality,tax_id,Kingdom,Phylum,Class,Order,Family,Genus
Clostridia_bacterium,30784,0.08788537960615078,14874,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridia_unclassified,f__Clostridia_unclassified,g__Clostridia_unclassified
LKT_f__Ruminococcaceae,20870,0.06223983800903386,14843,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,LKT_f__Ruminococcaceae
Lachnospiraceae_bacterium,11518,0.038285550089129636,4688,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Lachnospiraceae_unclassified
LKT_p__Firmicutes,9938,0.030118461167262543,6602,k__Bacteria,p__Firmicutes,LKT_p__Firmicutes,LKT_p__Firmicutes,LKT_p__Firmicutes,LKT_p__Firmicutes
Ruminococcaceae_bacterium,7066,0.02422017489526281,14925,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcaceae_unclassified
LKT_f__Lachnospiraceae,4874,0.020329734693383256,4777,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,LKT_f__Lachnospiraceae
LKT_f__Clostridia_unclassified,4814,0.013016453330859238,4328,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridia_unclassified,f__Clostridia_unclassified,LKT_f__Clostridia_unclassified
Faecalibacterium_prausnitzii,4070,0.00908614535890759,15342,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Faecalibacterium
Clostridiaceae_bacterium,3168,0.013480956021292753,4269,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridiaceae_unclassified
LKT_f__Clostridiaceae,2118,0.004691163423851834,14987,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,LKT_f__Clostridiaceae
